Land;Präfix
Ägypten;6A–6B, SSA–SSM, SU
Äquatorialguinea;3C
Äthiopien;9E–9F, ET
Afghanistan;T6, YA
Albanien;ZA
Algerien;7R
Algerien;7T–7Y
Andorra;C3
Angola;D2–D3
Antigua und Barbuda;V2
Argentinien;AY–AZ, L2–L9, LO–LW
Armenien;EK
Aruba;P4
Aserbaidschan;4J–4K
Australien;AX, VH–VN, VZ
Bahamas;C6
Bahrain;A9
Bangladesch;S2–S3
Barbados;8P
Belarus;EU–EW
Belgien;ON–OT
Belize;V3
Benin;TY
Bhutan;A5
Bolivien;CP
Bosnien und Herzegowina;E7
Botswana;8O, A2
Brasilien;PP–PY, ZV–ZZ
Brunei;V8
Bulgarien;LZ
Burkina Faso;XT
Burundi;9U
Chile;3G, CA–CE, XQ–XR
China (Hongkong);VR
Cookinseln;E5
Costa Rica;TE, TI
Demokratische Arabische Republik Sahara;S0︀︀︀
Demokratische Republik Kongo;9O–9T
Deutschland;DA–DR
Deutschland (ehemals Deutsche Demokratische Republik);Y2–Y9
Dominica;J7
Dominikanische Republik;HI
Dschibuti;J2
Dänemark;5P–5Q, OU–OZ, XP
Ecuador;HC–HD
El Salvador;HU, YS
Elfenbeinküste;TU
Eritrea;E3
Estland;ES
Eswatini;3DA–3DM
Fidschi;3DN–3DZ
Finnland;OF–OJ
Frankreich;F, HW–HY, TH, TK, TM, TO–TQ, TV–TX
Föderierte Staaten von Mikronesien;V6
Gabun;TR
Gambia;C5
Georgien;4L
Ghana;9G
Gibraltar;ZB
Grenada;J3
Griechenland;J4, SV–SZ
Guatemala;TD, TG
Guinea;3X
Guinea–Bissau;J5
Guyana;8R
Haiti;4V, HH
Honduras;HQ–HR
Indien;8T–8Y, AT–AW, VT–VW
Indonesien;7A–7I, 8A–8I, JZ, PK–PO, YB–YH
Internationale Zivilluftfahrtorganisation;4Y
Irak;HN, YI, 9B–9D
Iran;EP–EQ
Irland;EI–EJ
Island;TF
Israel;4X, 4Z
Italien;I
Jamaika;6Y
Japan;7J–7N, 8J–8N, JA–JS, 7O
Jordanien;JY
Kambodscha;XU
Kamerun;TJ
Kanada;CF–CK, CY–CZ, VA–VG, VX–VY, XJ–XO, VO
Kap Verde;D4
Kasachstan;UN–UQ
Katar;A7
Kenia;5Y–5Z
Kirgisistan;EX
Kiribati;T3
Kolumbien;5J–5K, HJ–HK
Komoren;D6
Kosovo;Z6
Kroatien;9A
Kuba;CL–CM, CO, T4
Kuwait;9K
Laos;XW
Lesotho;7P
Lettland;YL
Libanon;OD
Liberia;5L–5M, 6Z, A8, D5, EL
Libyen;5A
Liechtenstein (benutzt Präfix der Schweiz HB gefolgt von 0︀︀︀ und L);HB0︀︀︀, HBL
Litauen;LY
Luxemburg;LX
Madagaskar;5R–5S, 6X
Malawi;7Q
Malaysia;9M, 9W
Malediven;8Q
Mali;TZ
Malta;9H
Marokko;5C–5G, CN
Marshallinseln;V7
Mauretanien;5T
Mauritius;3B
Mazedonien;Z3
Mexiko;4A–4C, 6D–6J
Moldawien;ER
Monaco;3A
Mongolei;JT–JV
Montenegro;4O
Mosambik;C8–C9
Myanmar;XY–XZ
Namibia;V5
Nauru;C2
Nepal;9N
Neuseeland;ZK–ZM
Nicaragua;H6–H7, HT, YN
Niederlande;PA–PI
Niederländische Antillen;PJ
Niger;5U
Nigeria;5N–5O
Nordkorea;HM, P5–P9
Norwegen;3Y, JW–JX, LA–LN
Österreich;OE
Oman;A4
Osttimor;4W
Pakistan;6P–6S, AP–AS
Palau;T8
Palästinensische Autonomiegebiete;E4
Panama;3E–3F, H3, HO–HP
Panama (H9: in den Anfängen vor 1930 Schweiz);H8–H9
Papua–Neuguinea;P2
Paraguay;ZP
Peru;4T, OA–OC
Philippinen;4D–4I, DU–DZ
Polen;3Z, HF, SN–SR
Portugal;CQ–CU
Republik China (Taiwan);B (BM–BO, BP, BQ, BU–BX)
Republik Kongo;TN
Republik Zypern;5B, H2, P3
Ruanda;9X
Rumänien;YO–YR
Russland;R, UA–UI
Salomonen;H4
Sambia;9I–9J
Samoa;5W
San Marino;T7
Saudi-Arabien;HZ, 7Z, 8Z
Schweden;7S, 8S, SA–SM
Schweiz;HE
Schweiz ohne HB0︀︀︀ und HBL;HB
Senegal;6V–6W
Serbien;YT–YU
Seychellen;S7
Sierra Leone;9L
Simbabwe;Z2
Singapur;9V, S6
Slowakei;OM
Slowenien;S5
Somalia;6O, T5
Souveräner Malteserorden;1A
Spanien;AM–AO, EA–EH
Spratly-Inseln;1S
Sri Lanka;4P–4S
St. Kitts und Nevis;V4
St. Lucia;J6
St. Vincent und die Grenadinen;J8
Sudan;6T–6U, SSN–STZ
Suriname;PZ
Syrien;6C, YK
São Tomé und Príncipe;S9
Südafrika;S8, ZR–ZU
Südkorea;6K–6N, D7–D9, DS–DT, HL
Südsudan;Z8
Tadschikistan;EY
Tansania;5H–5I
Thailand;E2, HS
Togo;5V
Tonga;A3
Trinidad und Tobago;9Y–9Z
Tschad;TT
Tschechien;OK–OL
Tunesien;3V, TS
Turkmenistan;EZ
Tuvalu;T2
Türkei;TA–TC, YM
Türkische Republik Nordzypern;1B
Uganda;5X
Ukraine;EM–EO, UR–UZ
Ungarn;HA, HG
Uruguay;CV–CX
Usbekistan;UJ–UM
Vanuatu;YJ
Vatikanstadt;HV
Venezuela;4M, YV–YY
Vereinigte Arabische Emirate;A6
Vereinigte Staaten von Amerika (USA);AA–AL, K, N, W
Vereinigtes Königreich;2, G, M, VP–VQ, VS, ZB–ZJ, ZN–ZO, ZQ
Vereinte Nationen;4U
Vietnam;3W, XV
Volksrepublik China;3H–3U, B, XS, XX
Volksrepublik Donezk;D0︀︀︀–D1
Weltorganisation für Meteorologie;C7
Zentralafrikanische Republik;TL
Zypern;C4
